Name,Last Updated,Module,Type
1.1 Project Setup Guide,"April 5, 2024 1:05 PM",Module 1,Notes
1.2 How to Start a Server,"April 5, 2024 1:05 PM",Module 1,Notes
1.3 VS Code Extensions,"April 5, 2024 1:05 PM",Module 1,Notes
1.4 VS Code Extensions Cont.,"April 5, 2024 1:05 PM",Module 1,Notes
"1.5 Troubleshooting with GPT, AI, Discord","April 5, 2024 1:05 PM",Module 1,Notes
1.6.1 API Keys,"April 5, 2024 1:05 PM",Module 1,Notes
1.6.2 API Keys Cont,"April 5, 2024 1:05 PM",Module 1,Notes
1.7 Settings,"April 5, 2024 1:05 PM",Module 1,Notes
